created_at,query,result_count,standards_referenced,no_strong_match,cached
2026-07-27 19:47:40,What is new in the current version of ANSI/IES RP-43?,31,"[""RP-7-21+E1"",""TM-33-23"",""RP-8-25+E2"",""RP-37-25"",""LP-12-21"",""LS-4-20"",""RP-1-24"",""RP-3-20+E1"",""RP-38-17"",""TM-30-24"",""TM-41-24"",""LS-6-20+E1"",""RP-2-20+E1"",""RP-27.1-22"",""RP-36-24"",""RP-4-20+E1"",""RP-27-20+E1"",""RP-41-20+E1"",""RP-47-23"",""RP-8-25+E1"",""RP-30-25"",""RP-42-26"",""RP-9-23"",""RP-43-22""]",0,0
2026-07-27 19:00:54,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 19:00:33,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 19:00:30,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 18:59:25,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 18:59:22,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 18:55:10,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 18:53:25,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 18:53:21,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 18:53:17,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,1
2026-07-27 18:53:10,What's new in the latest version of RP-8?,40,"[""LM-83-23"",""RP-30-25"",""G-1-22"",""RP-43-25"",""RP-44-21"",""RP-46-25"",""LS-5-25"",""LP-9-25"",""TM-32-24"",""LP-4-20"",""LS-2-20"",""RP-1-24"",""RP-27.1-22"",""RP-3-20+E1"",""LP-30-26"",""RP-41-20+E1"",""RP-42-26"",""TM-18-18"",""TM-33-23"",""TM-37-22"",""TM-39-25"",""TM-41-24"",""RP-8-18"",""RP-8-21""]",0,0
2026-07-27 18:52:35,What's new in the latest version of RP-8?,40,"[""LM-83-23"",""RP-30-25"",""G-1-22"",""RP-43-25"",""RP-44-21"",""RP-46-25"",""LS-5-25"",""LP-9-25"",""TM-32-24"",""LP-4-20"",""LS-2-20"",""RP-1-24"",""RP-27.1-22"",""RP-3-20+E1"",""LP-30-26"",""RP-41-20+E1"",""RP-42-26"",""TM-18-18"",""TM-33-23"",""TM-37-22"",""TM-39-25"",""TM-41-24"",""RP-8-18"",""RP-8-21""]",0,0
2026-07-27 18:52:21,What's new in the latest version of RP-8?,40,"[""LM-83-23"",""RP-30-25"",""G-1-22"",""RP-43-25"",""RP-44-21"",""RP-46-25"",""LS-5-25"",""LP-9-25"",""TM-32-24"",""LP-4-20"",""LS-2-20"",""RP-1-24"",""RP-27.1-22"",""RP-3-20+E1"",""LP-30-26"",""RP-41-20+E1"",""RP-42-26"",""TM-18-18"",""TM-33-23"",""TM-37-22"",""TM-39-25"",""TM-41-24"",""RP-8-18"",""RP-8-21""]",0,0
2026-07-27 18:40:59,list of references related to human vision,38,"[""LS-7-20"",""RP-30-25"",""G-1-22"",""LP-1-24"",""LS-2-20"",""LS-5-25"",""LS-8-25"",""RP-10-20+E2"",""RP-43-25"",""LM-83-23"",""LS-1"",""TM-18-18"",""RP-27.1-22"",""TM-24-20"",""RP-39-19"",""RP-40-19"",""RP-46-25"",""TM-39-25"",""RP-1-24""]",0,0
2026-07-27 18:40:56,list of references related to human vision,38,"[""LS-7-20"",""RP-30-25"",""G-1-22"",""LP-1-24"",""LS-2-20"",""LS-5-25"",""LS-8-25"",""RP-10-20+E2"",""RP-43-25"",""LM-83-23"",""LS-1"",""TM-18-18"",""RP-27.1-22"",""TM-24-20"",""RP-39-19"",""RP-40-19"",""RP-46-25"",""TM-39-25"",""RP-1-24""]",0,0
2026-07-27 18:40:34,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 18:40:20,What's new in the latest version of RP-8?,7,"[""RP-8-25+E2"",""TM-30-24"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-27 18:39:54,how do I light transition and circulation space?,50,"[""RP-10-20+E2"",""RP-28-25"",""RP-9-23"",""RP-2-20+E1"",""RP-30-25"",""LP-2-20"",""RP-29-25"",""RP-41-20+E1"",""LM-83-23"",""LP-1-24"",""LP-3-20+E1"",""LS-6-20+E1"",""LP-11-20"",""LP-4-20"",""LP-6-25"",""LP-9-25""]",0,1
2026-07-27 18:39:37,transition and circulation space,36,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1"",""RP-28-25""]",0,0
2026-07-27 18:39:19,ambulance,50,"[""RP-29-25"",""G-1-22"",""RP-4-20+E1"",""RP-9-23"",""LP-9-25"",""RP-28-25"",""RP-1-24""]",0,0
2026-07-27 18:39:00,walkway,50,"[""RP-2-20+E1"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-43-25"",""RP-47-23"",""RP-28-25"",""G-1-22"",""LP-2-20"",""RP-4-20+E1"",""RP-10-20+E2""]",0,0
2026-07-27 16:44:31,how do I light transition and circulation space?,50,"[""RP-10-20+E2"",""RP-28-25"",""RP-9-23"",""RP-2-20+E1"",""RP-30-25"",""LP-2-20"",""RP-29-25"",""RP-41-20+E1"",""LM-83-23"",""LP-1-24"",""LP-3-20+E1"",""LS-6-20+E1"",""LP-11-20"",""LP-4-20"",""LP-6-25"",""LP-9-25""]",0,0
2026-07-27 16:43:39,fitting room,31,"[""RP-2-20+E1"",""RP-11-26"",""RP-9-23"",""RP-41-20+E1"",""RP-29-25"",""RP-7-21+E1"",""RP-28-25"",""RP-10-20+E2"",""RP-1-24"",""RP-38-17"",""LP-1-24""]",0,0
2026-07-27 16:05:26,tm-30,15,"[""LP-30-26"",""TM-30-24"",""LS-5-25"",""RP-30-25"",""RP-7-21+E1"",""TM-33-23"",""TM-41-24"",""RP-6-24"",""TM-30-18"",""TM-30-20""]",0,0
2026-07-27 16:04:30,how bright should a digital billboard be?,32,"[""RP-39-19"",""LS-5-25"",""RP-38-17"",""RP-2-20+E1"",""RP-1-24"",""RP-11-26"",""LP-11-20"",""LP-3-20+E1"",""RP-28-25"",""RP-36-24"",""RP-8-25+E1"",""RP-8-25+E2"",""TM-30-24"",""TM-37-22""]",1,0
2026-07-27 14:27:07,What are considerations for lighting parking garages?,12,"[""RP-8-25+E1"",""RP-8-25+E2"",""G-1-22"",""RP-11-26"",""RP-37-25"",""RP-2-20+E1"",""RP-28-25"",""RP-47-23"",""RP-7-21+E1""]",0,0
2026-07-27 13:59:21,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-26 18:56:35,What are considerations for lighting parking garages?,12,"[""RP-8-25+E1"",""RP-8-25+E2"",""G-1-22"",""RP-11-26"",""RP-37-25"",""RP-2-20+E1"",""RP-28-25"",""RP-47-23"",""RP-7-21+E1""]",0,0
2026-07-26 15:20:45,What's the difference between luminance and illuminance,20,"[""RP-2-20+E1"",""LS-2-20"",""RP-1-24"",""LP-8-20"",""LS-1"",""RP-30-25"",""RP-8-25+E1"",""RP-8-25+E2"",""LP-1-24"",""RP-11-26"",""RP-28-25"",""TM-24-20"",""G-1-22"",""LP-2-20"",""LP-30-26"",""LP-6-25"",""LP-9-25"",""LS-8-25"",""RP-3-20+E1"",""RP-7-21+E1""]",0,0
2026-07-26 05:14:49,What are considerations for lighting parking garages?,12,"[""RP-8-25+E1"",""RP-8-25+E2"",""G-1-22"",""RP-11-26"",""RP-37-25"",""RP-2-20+E1"",""RP-28-25"",""RP-47-23"",""RP-7-21+E1""]",0,0
2026-07-26 05:14:28,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-25 04:12:39,What is new in the current version of ANSI/IES RP-43?,24,"[""RP-7-21+E1"",""TM-33-23"",""RP-8-25+E2"",""LP-12-21"",""LS-4-20"",""RP-1-24"",""RP-2-20+E1"",""RP-3-20+E1"",""RP-37-25"",""RP-38-17"",""TM-30-24"",""TM-41-24"",""LS-6-20+E1"",""RP-27-20+E1"",""RP-27.1-22"",""RP-36-24"",""RP-4-20+E1"",""RP-30-25"",""RP-41-20+E1"",""RP-47-23"",""RP-8-25+E1"",""RP-42-26"",""RP-9-23"",""RP-43-22""]",0,0
2026-07-25 04:11:22,soccer,43,"[""RP-6-24"",""RP-7-21+E1""]",0,0
2026-07-25 04:08:06,pathway,12,"[""RP-11-26"",""RP-9-23""]",1,0
2026-07-25 04:07:07,office,21,"[""RP-11-26"",""RP-10-20+E2"",""RP-29-25"",""RP-9-23"",""RP-7-21+E1""]",0,0
2026-07-25 04:06:37,What are considerations for lighting parking garages?,12,"[""RP-8-25+E1"",""RP-8-25+E2"",""G-1-22"",""RP-11-26"",""RP-37-25"",""RP-2-20+E1"",""RP-28-25"",""RP-47-23"",""RP-7-21+E1""]",0,0
2026-07-25 04:06:28,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-24 18:48:32,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-24 14:46:16,What are considerations for lighting parking garages?,12,"[""RP-8-25+E1"",""RP-8-25+E2"",""G-1-22"",""RP-11-26"",""RP-37-25"",""RP-2-20+E1"",""RP-28-25"",""RP-47-23"",""RP-7-21+E1""]",0,0
2026-07-24 14:45:56,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-24 03:06:43,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-23 19:54:50,Provide a list of references in IES standards related to human vision,50,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22"",""LS-7-20"",""RP-40-19"",""TM-41-24"",""RP-1-24"",""RP-11-26"",""RP-42-26"",""RP-43-25"",""TM-32-24"",""LP-1-24"",""LP-9-25"",""LS-4-20"",""TM-30-24"",""LP-7-20"",""LP-30-26"",""RP-10-20+E2"",""RP-27-20+E1"",""RP-9-23"",""RP-6-24"",""TM-18-18""]",0,0
2026-07-23 17:14:26,how do I light transition and circulation space,47,"[""RP-10-20+E2"",""RP-28-25"",""RP-9-23"",""RP-2-20+E1"",""RP-30-25"",""LP-2-20"",""RP-29-25"",""RP-41-20+E1"",""LP-1-24"",""LP-3-20+E1"",""LM-83-23"",""LP-4-20"",""LS-6-20+E1"",""RP-4-20+E1"",""LP-11-20"",""LP-6-25"",""LP-9-25"",""TM-37-22""]",0,0
2026-07-23 16:20:21,Provide a list of references in IES standards related to human vision,10,"[""G-1-22"",""LS-2-20"",""LS-5-25"",""LM-83-23"",""RP-27.1-22"",""RP-30-25"",""TM-24-20"",""LP-13-21"",""LP-16-22""]",0,0
2026-07-23 15:51:46,how do I light transition and circulation space,50,"[""RP-10-20+E2"",""RP-9-23"",""RP-2-20+E1"",""LP-3-20+E1"",""RP-29-25"",""RP-28-25"",""RP-30-25"",""RP-41-20+E1"",""LM-83-23"",""LP-1-24"",""LP-2-20"",""LP-4-20"",""LS-6-20+E1"",""RP-3-20+E1"",""RP-4-20+E1"",""LP-11-20"",""TM-37-22"",""LS-1""]",0,0
2026-07-23 15:51:09,transition and circulation space,37,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1"",""LP-3-20+E1"",""RP-28-25""]",0,0
2026-07-23 15:46:00,transition and circulation space,34,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1"",""LP-3-20+E1""]",0,1
2026-07-23 15:45:56,transition and circulation space,33,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1""]",0,0
2026-07-23 15:28:56,human vision,10,"[""LS-5-25"",""LP-1-24"",""RP-28-25"",""LS-7-20"",""LS-8-25"",""RP-7-21+E1"",""RP-8-25+E1"",""RP-8-25+E2"",""LS-1"",""RP-45-21""]",0,0
2026-07-23 15:28:53,Provide a list of references in IES standards related to human vision,0,[],0,0
2026-07-23 15:28:51,What are considerations for lighting parking garages?,10,"[""G-1-22"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-2-20+E1"",""RP-28-25"",""RP-47-23""]",0,0
2026-07-23 15:27:59,Provide a list of references in IES standards related to human vision,0,[],0,0
2026-07-23 15:09:06,walkway,35,"[""RP-2-20+E1"",""RP-11-26"",""RP-43-25""]",0,0
2026-07-23 14:58:21,(r2026),2,"[""RP-11-26""]",1,0
2026-07-23 14:33:54,ambulance,41,"[""RP-29-25"",""RP-9-23""]",0,0
2026-07-23 14:33:51,ambulance,8,"[""G-1-22"",""RP-29-25"",""RP-4-20+E1"",""RP-9-23"",""LP-9-25"",""RP-1-24"",""RP-28-25"",""RP-8-25+E1""]",0,0
2026-07-23 14:29:52,fitting room,6,"[""RP-2-20+E1"",""RP-10-20+E2"",""RP-38-17"",""RP-41-20+E1"",""LP-1-24"",""RP-28-25""]",0,1
2026-07-23 14:29:27,fitting room,25,"[""RP-2-20+E1"",""RP-11-26"",""RP-9-23"",""RP-41-20+E1"",""RP-29-25"",""RP-7-21+E1"",""RP-10-20+E2"",""RP-38-17""]",0,1
2026-07-23 13:38:24,fitting room,6,"[""RP-2-20+E1"",""RP-10-20+E2"",""RP-38-17"",""RP-41-20+E1"",""LP-1-24"",""RP-28-25""]",0,0
2026-07-23 13:38:12,fitting room,0,[],0,0
2026-07-23 13:35:10,fitting room,27,"[""RP-2-20+E1"",""RP-11-26"",""RP-9-23"",""RP-41-20+E1"",""RP-29-25"",""RP-7-21+E1"",""RP-10-20+E2"",""RP-38-17"",""LP-1-24"",""RP-28-25""]",0,0
2026-07-23 13:18:32,What is new in the current version of ANSI/IES RP-43?,23,"[""RP-7-21+E1"",""TM-33-23"",""RP-8-25+E2"",""LP-12-21"",""LS-4-20"",""RP-1-24"",""RP-3-20+E1"",""RP-37-25"",""RP-2-20+E1"",""RP-38-17"",""RP-4-20+E1"",""RP-42-26"",""TM-30-24"",""TM-41-24"",""LS-6-20+E1"",""RP-27-20+E1"",""RP-27.1-22"",""RP-30-25"",""RP-36-24"",""RP-47-23"",""RP-8-25+E1"",""TM-27-20+E1"",""RP-43-22""]",0,0
2026-07-23 13:17:41,What is new in the current version of ANSI/IES RP-43?,23,"[""RP-7-21+E1"",""TM-33-23"",""RP-8-25+E2"",""LP-12-21"",""LS-4-20"",""RP-1-24"",""RP-3-20+E1"",""RP-37-25"",""RP-2-20+E1"",""RP-38-17"",""RP-4-20+E1"",""RP-42-26"",""TM-30-24"",""TM-41-24"",""LS-6-20+E1"",""RP-27-20+E1"",""RP-27.1-22"",""RP-30-25"",""RP-36-24"",""RP-47-23"",""RP-8-25+E1"",""TM-27-20+E1"",""RP-43-22""]",0,0
2026-07-23 03:58:56,Provide a list of references in IES standards related to human vision,0,[],0,1
2026-07-23 03:31:30,What are considerations for lighting parking garages?,9,"[""G-1-22"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-28-25"",""RP-47-23""]",0,1
2026-07-23 03:31:25,Provide a list of references in IES standards related to human vision,0,[],0,1
2026-07-23 01:45:31,What are considerations for lighting parking garages?,9,"[""G-1-22"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-28-25"",""RP-47-23""]",0,1
2026-07-23 01:45:13,Provide a list of references in IES standards related to human vision,0,[],0,1
2026-07-22 20:33:45,Provide a list of references in IES standards related to human vision,0,[],0,1
2026-07-22 19:35:44,What are considerations for lighting parking garages?,9,"[""G-1-22"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-28-25"",""RP-47-23""]",0,1
2026-07-22 19:26:31,What are considerations for lighting parking garages?,9,"[""G-1-22"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-28-25"",""RP-47-23""]",0,1
2026-07-22 19:26:27,Provide a list of references in IES standards related to human vision,0,[],0,1
2026-07-22 19:10:35,circadian,0,[],0,0
2026-07-22 19:10:19,circadian,0,[],0,1
2026-07-22 16:18:10,garage,31,"[""RP-11-26"",""RP-8-25+E2"",""RP-7-21+E1"",""RP-8-25+E1"",""RP-29-25"",""RP-28-25"",""RP-10-20+E2"",""G-1-22""]",0,0
2026-07-22 16:16:17,Provide a list of references in IES standards related to human vision,0,[],0,0
2026-07-22 16:16:14,What are considerations for lighting parking garages?,9,"[""G-1-22"",""RP-8-25+E1"",""RP-8-25+E2"",""RP-11-26"",""RP-28-25"",""RP-47-23""]",0,0
2026-07-22 16:10:02,What’s new in the latest version of RP-8?,7,"[""TM-30-24"",""RP-10-20+E2"",""RP-11-26"",""RP-6-24"",""TM-33-23""]",1,1
2026-07-22 16:09:54,What’s new in the latest version of RP-8?,7,"[""TM-30-24"",""RP-10-20+E2"",""RP-11-26"",""RP-6-24"",""TM-33-23""]",1,0
2026-07-22 16:08:51,offices,33,"[""RP-10-20+E2"",""RP-1-24"",""RP-29-25"",""RP-9-23"",""RP-7-21+E1"",""RP-8-25+E2"",""LP-16-22"",""RP-4-20+E1""]",0,0
2026-07-22 16:07:58,circadian,5,"[""RP-29-25"",""RP-46-25"",""LP-3-20+E1"",""RP-45-21"",""TM-18-18""]",0,1
2026-07-22 16:07:28,circadian,5,"[""RP-29-25"",""RP-46-25"",""LP-3-20+E1"",""RP-45-21"",""TM-18-18""]",0,0
2026-07-22 16:06:54,circadian,0,[],0,1
2026-07-22 16:06:47,circadian,0,[],0,1
2026-07-22 16:06:33,visual,0,[],0,0
2026-07-22 16:06:27,color,0,[],0,0
2026-07-22 16:06:14,circadian,0,[],0,0
2026-07-22 16:06:08,transition and circulation space,0,[],0,0
2026-07-22 15:56:43,transition and circulation space,34,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1"",""LP-3-20+E1""]",0,1
2026-07-22 15:52:14,transition and circulation space,4,"[""LP-3-20+E1"",""RP-10-20+E2"",""RP-28-25"",""RP-29-25""]",0,1
2026-07-22 15:50:37,transition and circulation space,34,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1"",""LP-3-20+E1""]",0,1
2026-07-22 15:50:15,transition and circulation space,4,"[""LP-3-20+E1"",""RP-10-20+E2"",""RP-28-25"",""RP-29-25""]",0,0
2026-07-22 15:49:46,transition and circulation space,34,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1"",""LP-3-20+E1""]",0,0
2026-07-22 15:45:16,emergency department entry,37,"[""RP-29-25"",""G-1-22"",""RP-4-20+E1"",""RP-10-20+E2"",""RP-9-23"",""RP-28-25"",""RP-1-24""]",0,0
2026-07-22 15:44:30,Ambulance,18,"[""G-1-22"",""RP-29-25"",""RP-7-21+E1"",""LP-6-25""]",1,0
2026-07-22 15:42:06,fitting room,25,"[""RP-2-20+E1"",""RP-11-26"",""RP-9-23"",""RP-41-20+E1"",""RP-29-25"",""RP-7-21+E1"",""RP-10-20+E2"",""RP-38-17""]",0,0
2026-07-22 01:43:11,“What’s new in the latest version of RP-8?,3,"[""RP-8-25+E2"",""TM-30-24"",""RP-10-20+E2""]",1,0
2026-07-22 01:42:59,“What’s new in the latest version of RP-8?,3,"[""RP-8-25+E2"",""TM-30-24"",""RP-10-20+E2""]",1,0
2026-07-22 01:42:36,offices,30,"[""RP-10-20+E2"",""RP-1-24"",""RP-29-25"",""RP-9-23"",""RP-7-21+E1"",""RP-8-25+E2""]",0,0
2026-07-22 01:42:18,transition and circulation space,30,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1""]",0,0
2026-07-22 01:41:24,transition and circulation space,30,"[""RP-10-20+E2"",""RP-9-23"",""RP-29-25"",""RP-2-20+E1""]",0,0
2026-07-22 01:40:52,emergency department entry,30,"[""RP-29-25"",""G-1-22"",""RP-4-20+E1"",""RP-10-20+E2""]",0,0
2026-07-22 01:39:04,Ambulance,17,"[""G-1-22"",""RP-29-25"",""RP-7-21+E1"",""LP-6-25""]",1,0
2026-07-22 01:38:54,ambulence,2,"[""RP-29-25""]",1,0
2026-07-22 01:38:25,fitting room,23,"[""RP-2-20+E1"",""RP-11-26"",""RP-9-23"",""RP-41-20+E1"",""RP-29-25"",""RP-7-21+E1"",""RP-10-20+E2"",""RP-38-17""]",0,0
2026-07-20 19:27:13,offices,30,"[""RP-10-20+E2"",""RP-1-24"",""RP-29-25"",""RP-9-23"",""RP-7-21+E1"",""RP-8-25+E2""]",0,0
2026-07-20 19:26:33,rp-3,23,"[""RP-6-24""]",1,0
2026-07-20 18:58:44,how to take illuminance measurements for offices,20,"[""LP-9-25"",""RP-40-19"",""RP-6-24"",""RP-7-21+E1"",""LP-1-24"",""LP-30-26"",""LS-4-20"",""LP-3-20+E1"",""RP-1-24"",""LP-8-20"",""RP-2-20+E1"",""RP-30-25"",""RP-38-17"",""TM-37-22"",""RP-11-26"",""LS-6-20+E1"",""RP-10-20+E2"",""RP-28-25"",""RP-8-25+E1""]",0,0
2026-07-20 18:56:33,work plane height,14,"[""LS-1"",""RP-37-25"",""RP-7-21+E1"",""LP-1-24"",""RP-6-24""]",0,0
2026-07-20 15:06:00,what's new in rp-8-25?,5,"[""RP-8-25+E2"",""RP-30-25"",""RP-37-25"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-20 15:05:29,what's new in rp-8-25?,5,"[""RP-8-25+E2"",""RP-30-25"",""RP-37-25"",""RP-8-22"",""RP-8-21""]",0,0
2026-07-17 19:01:16,church,27,"[""LP-16-22"",""RP-29-25"",""RP-41-20+E1"",""RP-28-25""]",0,1
2026-07-17 19:01:12,church,27,"[""LP-16-22"",""RP-29-25"",""RP-41-20+E1"",""RP-28-25""]",0,0
